NonFruit_Odor Data,TGS2620,TGS2610,TGS2602,MQ4,MQ5,temp,humid
,291,17,252,248,32,24,41
,295,17,252,258,29,24,41
,296,16,258,261,31,24,41
,303,18,252,260,29,24,41
,269,17,231,232,31,24,41
,253,17,229,225,29,24,41
,274,17,246,243,31,24,41
,301,17,255,264,29,24,41
,269,17,234,234,31,24,41
,272,17,238,241,31,24,41
,304,16,260,264,31,24,41
,274,17,240,242,31,24,41
,264,17,231,232,31,24,41
,263,17,232,239,31,24,41
,288,16,261,260,30,24,41
,274,16,237,235,31,24,41
,284,17,244,245,30,24,41
,278,17,253,245,31,24,41
,272,18,215,233,29,24,41
,267,18,241,228,31,24,41
,262,16,233,229,32,24,41
,274,16,230,234,31,24,41
,273,17,243,245,31,24,41
,296,17,255,257,30,24,41
,299,16,258,259,31,24,41
,308,17,257,268,30,24,41
,280,18,245,244,31,24,41
,260,17,234,230,32,24,41
,289,17,250,251,32,24,41
,291,18,246,257,31,24,41
,256,17,235,221,31,24,41
,278,17,242,240,32,24,41
,288,17,245,260,30,24,41
,260,17,221,234,30,24,41
,292,18,269,257,31,24,41
,261,17,220,231,31,24,41
,292,17,249,255,31,24,41
,279,17,244,248,31,24,41
,266,18,232,234,31,24,41
,306,18,260,265,30,24,41
,272,19,239,241,29,24,41
,270,20,224,234,31,24,41
,300,17,265,253,30,24,41
,288,17,256,256,30,24,41
,266,16,232,243,31,24,41
,259,17,223,232,31,24,41
,284,17,244,247,30,24,41
,285,17,255,270,31,24,41
,264,16,226,231,29,24,41
,276,17,244,242,32,24,41
,301,17,249,265,30,24,41
,263,17,228,228,31,24,41
,271,15,239,238,31,24,41
,277,17,244,246,31,24,41
,298,17,260,253,31,24,41
,287,16,256,256,30,24,41
,281,17,243,249,31,24,41
,255,17,224,223,30,24,41
,281,16,240,240,31,24,41
,294,17,263,255,30,24,41
,295,18,252,257,30,24,41
,277,18,245,247,28,24,41
,267,17,237,235,31,24,41
,256,17,227,227,31,24,41
,259,17,232,224,30,24,41
,270,19,218,236,30,24,41
,251,17,225,225,30,24,41
,264,17,218,228,30,24,41
,268,17,231,237,31,24,41
,266,18,237,235,30,24,41
,275,17,239,243,30,24,41
,299,17,251,260,31,24,41
,287,17,255,250,29,24,41
,278,19,233,240,31,24,41
,265,17,228,227,30,24,41
,271,16,239,237,31,24,41
,271,17,237,240,31,24,41
,280,17,246,243,30,24,41
,286,18,260,247,30,24,41
,308,17,261,265,30,24,41
,280,17,249,250,32,24,41
,260,17,226,230,30,24,41
,280,19,239,233,31,24,41
,299,18,252,252,31,24,41
,292,16,247,255,31,24,41
,274,18,244,242,29,24,41
,258,19,231,230,29,24,41
,253,17,230,224,31,24,41
,275,18,225,247,30,24,41
,282,17,251,250,31,24,41
,288,17,252,254,31,24,41
,274,18,238,237,31,24,41
,261,16,227,225,30,24,41
,268,18,236,232,31,24,41
,287,17,264,253,31,24,41
,298,19,254,257,31,24,41
,258,18,235,231,31,24,41
,275,18,247,246,30,24,41
,280,19,237,241,30,24,41
,280,17,245,250,30,24,41
,268,19,231,236,31,24,41
,280,17,244,251,31,24,41
,268,17,237,242,31,24,41
,277,17,235,238,32,24,41
,301,17,255,266,31,24,41
,269,19,239,238,29,24,41
,268,17,224,233,31,24,41
,298,18,256,258,31,24,41
,258,18,222,230,32,24,41
,294,18,256,257,30,24,41
,281,19,240,244,30,24,41
,265,19,227,236,31,24,41
,277,15,242,244,31,24,41
,285,18,258,249,31,24,41
,295,17,258,249,34,24,41
,291,18,267,250,31,24,41
,285,19,246,254,31,24,41
,288,16,246,256,30,24,41
,297,16,261,261,31,24,41
,300,17,263,256,31,24,41
,281,18,259,247,31,24,41
,275,18,241,245,30,24,41
,261,19,219,227,29,24,41
,275,19,248,245,31,24,41
,284,19,256,247,30,24,41
,263,17,233,230,31,24,41
,287,18,248,250,32,24,41
,281,18,245,243,31,24,41
,263,18,236,236,31,24,41
,298,17,247,265,30,24,41
,268,18,226,237,31,24,41
,281,17,243,246,32,24,41
,284,18,247,245,31,24,41
,278,18,246,240,31,24,41
,271,17,239,243,31,24,41
,283,18,248,251,32,24,41
,265,19,239,231,30,24,41
,287,18,247,254,31,24,41
,272,18,231,239,31,24,41
,296,18,253,258,29,24,41
,277,19,242,241,31,24,41
,266,19,218,231,31,24,41
,276,17,240,243,31,24,41
,289,18,260,255,29,24,41
,274,20,251,246,29,24,41
,253,18,233,228,32,24,41
,271,17,240,238,32,24,41
,296,19,250,264,32,24,41
,292,20,244,255,31,24,41
,271,17,229,242,31,24,41
,275,18,241,242,32,24,41
,301,18,260,264,31,24,41
,257,18,233,224,34,24,41
,288,17,259,254,31,24,41
,271,18,219,229,31,24,41
,301,19,267,262,31,24,41
,256,17,222,223,32,24,41
